REGION,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4
Hørsholm,24197,24189,24225,24333,24310,24312,24302,24361,24378,24391,24438,24450,24415,24392,24385,24414,24365,24330,24371,24517,24543,24563,24626,24655,24709,24796,24816,24833,24856,24885,24931,25022,24965,24938,24979,24993,24977,25040,25046,25113,25028,25018,25068,25091,25007,25017,25012,24935
Rudersdal,53869,53859,53924,53972,53915,54072,54155,54299,54444,54488,54613,54802,54765,54614,54557,54704,54630,54626,54549,54772,54827,54768,54805,54991,55034,55080,55228,55394,55441,55479,55420,55705,55739,55851,55915,56110,56133,56018,56060,56159,55989,56075,56134,56545,56509,56525,56556,56807
Bornholm,42817,42720,42746,42625,42563,42477,42464,42232,42154,42076,42066,41855,41802,41620,41588,41341,41303,41170,41066,40844,40715,40616,40578,40327,40215,40135,40096,39880,39828,39817,39842,39681,39756,39684,39740,39663,39695,39664,39727,39627,39632,39624,39697,39575,39572,39582,39693,39611
Christiansø,96,94,100,100,96,94,97,103,101,100,96,94,94,105,105,105,103,103,104,98,92,92,92,105,90,94,94,94,91,87,91,95,91,91,89,87,78,78,77,91,83,88,86,94,90,88,83,86
Region Sjælland,819427,819704,820596,821308,821252,820769,821086,820771,820564,820183,820609,820308,819763,819071,819222,818321,817907,817488,817609,816670,816359,816172,816769,816460,816726,817429,818733,819385,820480,821366,824199,825893,827499,828640,830618,831789,832553,832703,833997,834740,835024,835107,836379,836694,836738,836675,837357,837087
Greve,47773,47749,47743,47907,47951,47910,47834,47913,47826,47879,47857,47932,47978,47932,47911,47936,47942,47975,47997,47978,47980,48009,48045,48100,48095,48408,48540,48681,48835,48911,49137,49348,49518,49610,49717,49822,49921,49951,50000,50012,49974,49973,50077,50201,50267,50277,50289,50469
Køge,56637,56668,56780,56878,56848,56873,56883,57027,57125,57211,57239,57294,57271,57215,57275,57219,57307,57467,57517,57676,57771,57986,58114,58287,58374,58524,58803,59062,59285,59317,59509,59733,59868,59886,59974,60093,60109,60101,60182,60381,60356,60472,60565,60707,60675,60710,60725,60836
Lejre,26603,26562,26728,26722,26778,26769,26785,26798,26794,26774,26847,26861,26764,26750,26813,26919,26887,26950,27014,26924,26901,26824,26948,26974,26989,26954,27048,27083,27172,27112,27266,27287,27317,27333,27431,27438,27402,27452,27533,27549,27544,27579,27699,27786,27775,27855,27995,28095
Roskilde,80687,80712,80789,81243,81285,81401,81575,81788,81947,81964,82114,82469,82542,82625,82658,83022,83137,83148,83086,83448,83554,83699,83760,84017,84219,84391,84471,84838,85026,85189,85516,85903,86207,86431,86657,87011,87015,86951,86995,87180,87382,87490,87462,87615,87577,87542,87588,87553
Solrød,20759,20702,20692,20731,20743,20778,20830,20873,20882,20845,20874,20960,20964,21003,21072,21122,21156,21135,21104,21133,21145,21150,21239,21321,21339,21408,21468,21567,21552,21603,21687,21723,21788,21897,21958,22056,22147,22215,22273,22374,22518,22590,22780,22860,23065,23173,23234,23208
Faxe,35418,35511,35450,35444,35441,35481,35379,35397,35306,35355,35384,35299,35277,35259,35204,35222,35110,35087,35206,35192,35123,35031,35110,35117,35119,35146,35162,35147,35195,35305,35446,35542,35614,35659,35734,35808,35916,35987,36101,36101,36139,36190,36327,36504,36513,36543,36606,36520
Guldborgsund,63496,63435,63403,63272,63211,63094,63020,62883,62912,62821,62800,62693,62583,62296,62197,61907,61913,61750,61705,61482,61322,61214,61203,61025,61007,60880,60954,60830,60829,60796,60988,60867,60979,61091,61187,61227,61257,61232,61346,61229,61219,61130,61092,60968,60930,60879,60872,60751
Holbæk,69010,69182,69321,69403,69528,69525,69529,69468,69550,69536,69538,69607,69521,69548,69507,69433,69415,69354,69431,69275,69263,69237,69239,69093,69016,68997,68979,68938,69035,69353,69604,69771,69972,70118,70465,70775,70950,70917,70993,71026,70983,71033,71243,71185,71297,71272,71360,71456
Kalundborg,49743,49711,49845,49777,49741,49613,49583,49359,49265,49271,49300,49082,49088,49050,49014,48764,48632,48555,48532,48362,48294,48353,48407,48294,48358,48319,48379,48493,48469,48419,48623,48708,48660,48773,48846,48732,48736,48696,48867,48994,48982,48941,48854,48739,48681,48646,48564,48524
Lolland,48219,48095,48081,47892,47757,47480,47390,47176,46984,46806,46693,46313,46111,45986,45871,45492,45241,45190,45036,44622,44436,44209,44040,43717,43528,43409,43341,43157,43024,42969,42941,42743,42638,42560,42528,42398,42285,42186,42238,42084,41982,41921,41860,41674,41615,41505,41475,41294
Næstved,80732,80834,80836,81023,80954,80958,81114,81061,81112,80996,80975,80989,80963,80856,80942,80967,81012,81149,81209,81229,81163,81170,81216,81272,81432,81486,81530,81611,81687,81789,81902,82190,82342,82434,82474,82605,82581,82692,82801,82887,82938,82911,83078,83073,82991,83020,83095,83156
Odsherred,33129,33155,33218,33174,33159,33159,33212,33093,33030,32955,32974,32918,32845,32795,32826,32710,32640,32554,32538,32468,32452,32445,32511,32452,32534,32609,32743,32676,32665,32757,32880,32824,32816,32777,32940,32988,33023,33022,33102,33114,33083,33037,33161,33183,33122,33105,33170,33107
Ringsted,32092,32254,32319,32401,32442,32562,32532,32571,32584,32636,32667,32784,32890,32880,33010,33062,33153,33127,33148,33146,33217,33248,33298,33291,33349,33387,33516,33471,33573,33666,33854,34024,34031,34087,34170,34174,34259,34308,34359,34403,34473,34409,34564,34682,34725,34767,34735,34753
Slagelse,77457,77491,77560,77497,77457,77391,77529,77478,77475,77423,77542,77444,77442,77455,77470,77357,77310,77185,77289,77208,77167,77094,77162,76992,76948,77064,77187,77167,77293,77332,77560,77805,78140,78276,78534,78642,78828,78754,78905,78973,78968,78965,79010,79009,79073,79009,79139,78985
Sorø,29180,29198,29245,29391,29458,29438,29484,29555,29522,29503,29549,29540,29499,29437,29477,29400,29393,29314,29310,29311,29288,29231,29262,29311,29299,29295,29270,29243,29331,29277,29458,29488,29543,29559,29631,29611,29595,29634,29643,29635,29669,29718,29763,29729,29834,29838,29860,29866
Stevns,21892,21849,21906,21908,21948,21923,21977,21949,21931,21945,21949,21870,21855,21874,21900,21864,21855,21823,21807,21775,21818,21838,21861,21864,21825,21835,21920,22008,22038,22035,22162,22227,22260,22300,22379,22416,22492,22580,22617,22731,22727,22823,22899,22849,22782,22787,22856,22892
Vordingborg,46600,46596,46680,46645,46551,46414,46430,46382,46319,46263,46307,46253,46170,46110,46075,45925,45804,45725,45680,45441,45465,45434,45354,45333,45295,45317,45422,45413,45471,45536,45666,45710,45806,45849,45993,45993,46037,46025,46042,46067,46087,45925,45945,45930,45816,45747,45794,45622
Region Syddanmark,1194659,1195741,1197263,1198899,1199667,1199569,1200158,1200372,1200277,1200478,1200841,1200666,1200656,1200858,1201063,1201365,1201342,1201429,1201586,1201547,1201419,1201365,1201448,1201955,1202509,1203077,1204111,1205025,1205728,1206924,1208520,1210297,1211770,1213532,1214785,1217170,1217224,1218010,1218665,1220306,1220763,1221083,1222370,1223204,1223348,1223685,1223879,1223894
Assens,42054,42159,42249,42206,42128,42094,42149,42035,42054,41969,41812,41702,41635,41631,41604,41449,41443,41394,41402,41338,41325,41181,41146,41071,41037,40994,41076,41027,41046,41135,41207,41153,41224,41311,41413,41448,41390,41413,41406,41418,41328,41367,41474,41360,41212,41120,41120,41060
Faaborg-Midtfyn,51950,52038,52101,52129,52108,52004,52083,52167,52085,51984,51971,51903,51926,51691,51694,51735,51635,51522,51562,51467,51409,51303,51279,51078,51078,51061,51096,50903,50953,50997,51179,51159,51236,51233,51329,51338,51376,51397,51436,51477,51536,51559,51698,51752,51809,51817,51746,51566
Kerteminde,23630,23635,23668,23684,23745,23738,23794,23750,23770,23752,23750,23723,23758,23708,23767,23740,23793,23746,23788,23728,23787,23721,23677,23697,23665,23707,23797,23774,23728,23799,23860,23850,23880,23871,23834,23787,23774,23746,23795,23797,23756,23736,23854,23802,23773,23831,23863,23789
